"ITEM_SALE_BK"|"DATE"|"SUPPORT_ITEM_BK"|"QUANTITY"|"DESCRIPTION"|"TOTAL"|"BUSINESS_UNIT_BK"|"ACCOUNT_NUMBER"|"CARD_ID"|"H_ITEM_SALE_SID"|"ITEM_SALE_DETAIL_BK"|"H_ITEM_SALE_DETAIL_SID"|"H_BUSINESS_UNIT_SID"|"H_NDIS_SUPPORT_ITEM_SID"|"AMOUNT"|"WORKFLOW_PATH"|"WORKFLOW_NAME"|"WORKSPACE"|"SOURCE"|"LOAD_DATE_TIME"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-11-30 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(82)"|"76b58567af2b27ecd79f0b9df36a43eca7403fb7"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2016-12-01 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(83)"|"89f09f6ff456c8fdb3f267e369ef317e4cd3b4ef"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-12-01 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(84)"|"a2a4ced7bd1a3aec2e345e7d4038441de7df511b"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|6.0|"2016-12-02 GRCOMS1:2-WD"|"$134.10"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(85)"|"1b6193021f715ed21d0c8174a63f65faf4da2af6"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|134.1|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2016-12-05 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(86)"|"86876974d3c20c6427d65743755fd8f52d1aa306"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-12-05 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(87)"|"32d5b740e19c9fefc69c0f2de19543df51f7f991"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2016-12-06 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(88)"|"468cce867fd5e46572fe9ecb14365b589ae197f8"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-12-06 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(89)"|"cfadc4d854176c7f13929cbf7f08a01b81a4c291"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_107_0136_6_1"|3.0|"2016-12-07 CBG-WD"|"$60.72"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(90)"|"b4f67f355d5a3b7f8f21d6aac815fb99ae2d67b0"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"0a7c256cd37a94a40ea3c0228ba5d8bb57f83493"|60.72|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
"17203"|"11/07/2018"|"04_111_0136_6_1"|3.0|"2016-12-07 GRCOMS1:2-WD"|"$67.05"|"3600"||"CUS000259"|"477f99280e027cefbcc12b059cc1a88fa12e3f8e"|"17203(91)"|"b5cbaa7f543bc73bdbd7ec6b00960c684a66d23f"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"54c4fdba44d014693a1e1d49870e6efc69d7cec8"|67.05|"/Datavault/Core Business Concepts/Finance/Item Sale"|"Item Sale"|"D:\BI_and_Data_Analytics\Workflows"|"Finance"|"2018-08-06 18:03:13.0"
